E[1] [eV],Im(eps)_ecutwfc_30,Im(eps)_ecutwfc_40,Im(eps)_ecutwfc_50,Im(eps)_ecutwfc_60,Im(eps)_ecutwfc_70,Im(eps)_ecutwfc_80,Im(eps)_ecutwfc_90,Im(eps)_ecutwfc_100
14.210530,1.34316600,1.28504400,1.19617200,1.18361500,1.23255700,1.24289400,1.24456800,1.24586500
14.248120,1.31614800,1.23084100,1.23914100,1.15065500,1.17400400,1.18596300,1.18815700,1.18977100
14.285710,1.25903900,1.18478600,1.26902700,1.15303100,1.13321300,1.13710200,1.13816100,1.13899900
14.323310,1.18148400,1.14917900,1.28075900,1.16822700,1.13136200,1.12540800,1.12465000,1.12424100
14.360900,1.12006500,1.13130000,1.28214900,1.17252900,1.14580400,1.13776600,1.13636500,1.13547800
14.398490,1.10094200,1.13656000,1.28476600,1.19595500,1.16499300,1.15736300,1.15601600,1.15508200
14.436090,1.11103700,1.14162600,1.28932600,1.24790100,1.20593600,1.19454100,1.19246900,1.19093700
14.473680,1.11310300,1.12550800,1.25494100,1.28810800,1.24017300,1.22828500,1.22602900,1.22434200
14.511280,1.07296400,1.10594500,1.16685600,1.28645500,1.24673000,1.23446400,1.23225000,1.23063700
14.548870,1.02932000,1.10175900,1.05867600,1.21708500,1.22307600,1.21440800,1.21260700,1.21121400
14.586460,1.03559900,1.11060100,0.97085100,1.09846400,1.15567900,1.15941100,1.15940200,1.15918400
14.624060,1.07579400,1.12568000,0.92196900,0.98548900,1.06407900,1.08256600,1.08536700,1.08724200
14.661650,1.10272600,1.10774600,0.89972800,0.91451100,0.98039700,1.00405100,1.00848400,1.01178200
14.699250,1.09594900,1.04676800,0.89686600,0.89451200,0.92584400,0.94375000,0.94747900,0.95046800
14.736840,1.07510100,0.97834200,0.92217600,0.90671100,0.90907600,0.91687800,0.91875300,0.92046000
14.774440,1.04817100,0.93422300,0.97460300,0.92820500,0.92557800,0.92631500,0.92669500,0.92726000
14.812030,1.00439300,0.92274100,1.00427600,0.94842900,0.94728200,0.94705400,0.94707500,0.94727600
14.849620,0.94342700,0.93573100,0.98548500,0.96205300,0.95251900,0.95219200,0.95222700,0.95236700
14.887220,0.89560800,0.95699700,0.95579100,0.94864200,0.93787300,0.93655200,0.93645300,0.93641800
14.924810,0.88644500,0.96651500,0.92839900,0.91483200,0.90416800,0.90234900,0.90218100,0.90191000
14.962400,0.90124400,0.96764300,0.90143900,0.88137400,0.86202500,0.85572600,0.85476500,0.85380400
15.000000,0.92520200,0.95445700,0.88724000,0.84598600,0.83161700,0.82022800,0.81801200,0.81611600
15.037590,0.93943600,0.91976100,0.90438900,0.82413100,0.82209500,0.81467200,0.81269300,0.81099300
15.075190,0.90881200,0.88878000,0.94308600,0.84029200,0.83181200,0.83025700,0.82959600,0.82899800
15.112780,0.84660800,0.85991600,0.96596100,0.88134700,0.85729400,0.85506100,0.85467700,0.85443800
15.150370,0.78806800,0.82439600,0.95820600,0.89793400,0.87220700,0.86886400,0.86832800,0.86808200
15.187970,0.75470900,0.78499700,0.92859900,0.88680800,0.86304400,0.86042300,0.86002500,0.85989700
15.225560,0.74973600,0.76165100,0.87095500,0.87891400,0.85333500,0.84906800,0.84840500,0.84796700
15.263160,0.75159100,0.77969700,0.80157100,0.87804300,0.86093200,0.85527900,0.85425400,0.85335500
15.300750,0.75347100,0.84329900,0.75757400,0.87749500,0.87626200,0.87304300,0.87240600,0.87167300
15.338350,0.74974400,0.92100000,0.74982700,0.86762100,0.88509400,0.88499200,0.88496000,0.88475600
15.375940,0.72934100,0.95381200,0.75697500,0.83591700,0.86976100,0.87318600,0.87372300,0.87409000
15.413530,0.70538600,0.89356500,0.75869800,0.78134700,0.82039900,0.82871900,0.83005800,0.83111300
15.451130,0.68538700,0.77941300,0.75237600,0.71916200,0.75059900,0.76091000,0.76281100,0.76439300
15.488720,0.66992200,0.68216500,0.74687100,0.66902300,0.68377300,0.69106700,0.69251400,0.69381500
15.526320,0.65978600,0.61550300,0.73812300,0.63729900,0.62874100,0.63244500,0.63324500,0.63405300
15.563910,0.65186700,0.56895800,0.71334300,0.62310900,0.59495500,0.59441000,0.59456100,0.59490600
15.601500,0.66056800,0.54204100,0.68249100,0.61836100,0.58569500,0.58083100,0.58024300,0.58000500
15.639100,0.68032800,0.54249600,0.66327600,0.62449400,0.59307800,0.58518400,0.58395700,0.58308500
15.676690,0.67726000,0.57541500,0.64595300,0.65245200,0.61888300,0.60767000,0.60563000,0.60401500
15.714280,0.65424700,0.63054000,0.62244600,0.69002900,0.66861600,0.65710200,0.65468400,0.65273300
15.751880,0.64295000,0.67960300,0.61956400,0.71267100,0.72275300,0.71755500,0.71612100,0.71494300
15.789470,0.65884100,0.70661500,0.65058500,0.71524400,0.74787800,0.75262200,0.75312400,0.75345500
15.827070,0.67798000,0.71967400,0.68323000,0.70987600,0.73925200,0.74758800,0.74912300,0.75031000
15.864660,0.67186300,0.72748600,0.68516600,0.69372500,0.71351600,0.71963200,0.72085100,0.72181800
15.902260,0.65869100,0.73268600,0.67697800,0.67395200,0.68550400,0.68949800,0.69024300,0.69080800
15.939850,0.65885400,0.71604400,0.68258900,0.66356200,0.66981200,0.67262100,0.67313200,0.67349000
15.977440,0.66139200,0.67237300,0.69279800,0.65144800,0.65525800,0.65775000,0.65825300,0.65863000
16.015040,0.64342600,0.61162100,0.69589200,0.64309800,0.63332100,0.63416600,0.63443400,0.63469900
16.052630,0.59866200,0.55310900,0.68593200,0.64537200,0.61680200,0.61369600,0.61330400,0.61315400
16.090230,0.54654100,0.51769700,0.64964800,0.64752300,0.61377700,0.60731300,0.60627400,0.60567200
16.127820,0.49881300,0.51336800,0.59148800,0.63292500,0.61618300,0.61029600,0.60925500,0.60859900
