E[1] [eV],Re(eps)_ecutwfc_30,Re(eps)_ecutwfc_40,Re(eps)_ecutwfc_50,Re(eps)_ecutwfc_60,Re(eps)_ecutwfc_70,Re(eps)_ecutwfc_80,Re(eps)_ecutwfc_90,Re(eps)_ecutwfc_100
10.676690,1.34693800,1.27583700,1.30988800,1.31069400,1.30701200,1.30654600,1.30646900,1.30642900
10.714280,1.34677600,1.27452300,1.31030500,1.31580600,1.31206500,1.31128800,1.31117300,1.31111900
10.751880,1.34527400,1.27693600,1.30298600,1.31267300,1.31080400,1.30994000,1.30981500,1.30974600
10.789470,1.34548000,1.28248700,1.29717700,1.30690200,1.30776000,1.30721400,1.30712100,1.30705200
10.827070,1.34933800,1.29097900,1.29726900,1.30422400,1.30625400,1.30628200,1.30627600,1.30625600
10.864660,1.35628000,1.30176900,1.30133300,1.30762800,1.30863000,1.30915400,1.30925200,1.30930300
10.902250,1.36490200,1.31285800,1.30564100,1.31537200,1.31484600,1.31524000,1.31534800,1.31541400
10.939850,1.37403100,1.32211300,1.30829800,1.32144300,1.32079800,1.32071200,1.32073400,1.32074200
10.977440,1.38215600,1.32957300,1.31162100,1.32421800,1.32468100,1.32449300,1.32446700,1.32443800
11.015040,1.38840800,1.33796700,1.31654800,1.32790700,1.33001500,1.33012900,1.33015700,1.33016700
11.052630,1.39358600,1.34899300,1.32216400,1.33460900,1.33802400,1.33847400,1.33856700,1.33861900
11.090220,1.39930100,1.36084300,1.32732900,1.34314900,1.34621500,1.34702700,1.34718700,1.34727500
11.127820,1.40422200,1.37157000,1.33258800,1.35064100,1.35300600,1.35369800,1.35385800,1.35394300
11.165410,1.40604400,1.38304800,1.34029000,1.35417200,1.35864500,1.35882600,1.35889200,1.35891200
11.203010,1.40484900,1.39743700,1.35029200,1.35400500,1.36244900,1.36285000,1.36289000,1.36288600
11.240600,1.40371700,1.41298800,1.36159600,1.35399300,1.36257300,1.36429200,1.36453500,1.36466200
11.278190,1.40800300,1.42564000,1.37462000,1.35834200,1.36117100,1.36344100,1.36387700,1.36415800
11.315790,1.42013800,1.43190100,1.38853700,1.36838000,1.36590300,1.36679600,1.36707500,1.36728500
11.353380,1.43773300,1.43186900,1.40178800,1.38214000,1.37819400,1.37761600,1.37758800,1.37759300
11.390980,1.45758100,1.42928600,1.41344300,1.39822900,1.39370800,1.39284200,1.39269900,1.39261000
11.428570,1.47666000,1.42666100,1.42417200,1.41500900,1.40981400,1.40902500,1.40889200,1.40880700
11.466160,1.49166800,1.42541000,1.43448500,1.43081600,1.42607100,1.42515900,1.42501000,1.42491800
11.503760,1.50169900,1.42861300,1.44277800,1.44435600,1.44084400,1.43996000,1.43981400,1.43972100
11.541350,1.51122900,1.43818300,1.44826000,1.45339800,1.45126200,1.45062400,1.45051400,1.45043300
11.578950,1.52533100,1.45234900,1.45364600,1.45708700,1.45687300,1.45645000,1.45638000,1.45631900
11.616540,1.54493300,1.46704700,1.46140400,1.46015300,1.46153800,1.46151500,1.46150900,1.46148800
11.654130,1.56726000,1.47879000,1.47067500,1.46697500,1.46786400,1.46842100,1.46853600,1.46859800
11.691730,1.58858900,1.48732100,1.48008800,1.47469100,1.47458300,1.47501900,1.47516400,1.47525500
11.729320,1.60538300,1.49486300,1.49092100,1.47996600,1.48066200,1.48049200,1.48049900,1.48049800
11.766920,1.61716300,1.50319600,1.50349900,1.48680200,1.48791200,1.48798600,1.48796800,1.48794300
11.804510,1.62751300,1.51291700,1.51373400,1.50007200,1.49880100,1.49937300,1.49946600,1.49951900
11.842100,1.64084100,1.52507700,1.52095700,1.51817400,1.51349500,1.51366700,1.51375500,1.51381800
11.879700,1.65803300,1.53806800,1.52764200,1.53756000,1.53194500,1.53097800,1.53087200,1.53081200
11.917290,1.67680500,1.55134800,1.53574100,1.55732800,1.55249000,1.55101700,1.55075600,1.55058200
11.954890,1.69612100,1.56683500,1.54640800,1.57605600,1.57226100,1.57104200,1.57079400,1.57062000
11.992480,1.71435000,1.58341900,1.55817700,1.58926400,1.58964700,1.58863500,1.58841900,1.58826200
12.030070,1.72853200,1.60127600,1.57171600,1.59547000,1.60293000,1.60293500,1.60286200,1.60278100
12.067670,1.73550000,1.62202500,1.58820200,1.60087600,1.61252000,1.61440000,1.61469100,1.61483300
12.105260,1.73849000,1.64253100,1.60592400,1.61075200,1.62255200,1.62531700,1.62586600,1.62619000
12.142860,1.73953700,1.65995600,1.62536300,1.62632700,1.63573600,1.63845100,1.63902000,1.63936600
12.180450,1.74018200,1.67605700,1.64755200,1.64679100,1.65258400,1.65457900,1.65504600,1.65532900
12.218040,1.74064000,1.69253800,1.67266500,1.67131500,1.67365700,1.67459500,1.67481700,1.67493200
12.255640,1.73719400,1.70707000,1.69983500,1.69754000,1.69729700,1.69775700,1.69784600,1.69786400
12.293230,1.73513600,1.71706200,1.72334800,1.72107700,1.72124700,1.72110600,1.72111500,1.72108600
12.330830,1.74171400,1.72928800,1.73434000,1.73819900,1.73957500,1.73937300,1.73935800,1.73930900
12.368420,1.75971200,1.75023400,1.73311600,1.74644400,1.74614900,1.74611500,1.74615800,1.74614400
12.406010,1.78379900,1.77443400,1.73026900,1.75133600,1.74815700,1.74757100,1.74752300,1.74745200
12.443610,1.80390000,1.79602100,1.72816300,1.75778400,1.75418900,1.75300200,1.75283100,1.75267400
12.481200,1.81462700,1.80669300,1.72625900,1.76043600,1.75916900,1.75763900,1.75737600,1.75715800
12.518800,1.81762900,1.80572300,1.73378200,1.76082600,1.76232300,1.76118200,1.76092900,1.76071100
12.556390,1.81487900,1.80717300,1.74911400,1.76326100,1.76855800,1.76817400,1.76803400,1.76789300
12.593980,1.81829700,1.81176700,1.76917800,1.76800600,1.77865000,1.77964700,1.77975100,1.77976900
12.631580,1.84067400,1.81724900,1.79668300,1.78302300,1.79808200,1.80082000,1.80130800,1.80158400
12.669170,1.88506100,1.83471700,1.82540100,1.81186300,1.82342300,1.82751300,1.82828000,1.82873700
12.706770,1.94417000,1.86651000,1.84970500,1.84497600,1.84414300,1.84763000,1.84842500,1.84890700
12.744360,2.00446800,1.89982200,1.87519900,1.87326300,1.86266900,1.86226400,1.86241900,1.86248700
12.781950,2.05730600,1.92774400,1.91332200,1.90456800,1.89268800,1.88914100,1.88858300,1.88815100
12.819550,2.09139400,1.95911500,1.95906400,1.94301800,1.93661000,1.93261300,1.93183300,1.93122500
12.857140,2.08559400,2.00253800,2.00164800,1.98263400,1.98189600,1.97970900,1.97919900,1.97875300
12.894740,2.03545000,2.04999700,2.03920500,2.02235900,2.02092900,2.02060300,2.02053200,2.02038100
12.932330,1.97330600,2.08510100,2.07500700,2.06589300,2.05839600,2.05743900,2.05738800,2.05727300
12.969920,1.93212700,2.10223400,2.10936600,2.11146400,2.09506400,2.09187200,2.09143700,2.09109300
13.007520,1.92139400,2.10093400,2.13607500,2.14302900,2.11826300,2.11251600,2.11158700,2.11095100
