E[1] [eV],Im(eps)_nk_20,Im(eps)_nk_22,Im(eps)_nk_24,Im(eps)_nk_26,Im(eps)_nk_28,Im(eps)_nk_30,Im(eps)_nk_32,Im(eps)_nk_34,Im(eps)_nk_36,Im(eps)_nk_38,Im(eps)_nk_40
9.323307,0.17259500,0.17128200,0.09428600,0.11534200,0.12396000,0.11972300,0.17878800,0.12078500,0.11976700,0.12205300,0.11913600
9.360902,0.18958400,0.16990300,0.09566600,0.10193300,0.11999700,0.11254200,0.16710600,0.12275900,0.11680900,0.13275900,0.12584700
9.398496,0.18764200,0.17050900,0.09929500,0.09208300,0.12619400,0.11248700,0.14789600,0.11921000,0.11531100,0.13697300,0.13397400
9.436090,0.16564300,0.15588500,0.10495100,0.08723500,0.13930000,0.12026400,0.12636200,0.11362800,0.11062400,0.13083600,0.13985900
9.473684,0.14394700,0.12805500,0.11595000,0.08883700,0.15149100,0.13108900,0.10895500,0.11283900,0.10422600,0.12009600,0.14302900
9.511277,0.13177300,0.10316900,0.13009200,0.09758300,0.15422200,0.13869000,0.09729200,0.11615700,0.10060100,0.11529100,0.14301300
9.548872,0.12291500,0.08693300,0.13508600,0.11046200,0.14698800,0.14447500,0.09173000,0.11694000,0.10342100,0.11926900,0.13610500
9.586466,0.10971800,0.07794400,0.12583700,0.11739900,0.13317200,0.14806600,0.09220400,0.11510200,0.11425000,0.12644400,0.12141600
9.624060,0.09621500,0.07382600,0.11543200,0.11321800,0.12105200,0.14462100,0.09747800,0.11470900,0.12780500,0.13106100,0.10658100
9.661654,0.08862100,0.07247400,0.11263300,0.10793900,0.11732500,0.13484200,0.10163900,0.11361400,0.13312300,0.13298800,0.09877000
9.699247,0.08766300,0.07267600,0.11284100,0.10882300,0.11905700,0.12207800,0.09969500,0.10778000,0.12936100,0.12902600,0.09760900
9.736841,0.09051900,0.07565600,0.10663100,0.11529200,0.11603200,0.10782500,0.09614300,0.10138200,0.12359700,0.11925600,0.09743900
9.774436,0.09493900,0.08201200,0.09541000,0.12825200,0.10527000,0.09640900,0.09645200,0.10057000,0.11884300,0.11131700,0.09584700
9.812029,0.10370700,0.08987200,0.08735400,0.14969600,0.09460600,0.08980800,0.10198200,0.10540700,0.11359800,0.10634900,0.09738800
9.849624,0.11880300,0.09926800,0.08657500,0.16999500,0.08953600,0.08553300,0.10833200,0.11379500,0.10789700,0.09957000,0.10408800
9.887218,0.13303200,0.11118900,0.09330700,0.16976000,0.09152300,0.08348000,0.11124200,0.12271200,0.10486200,0.09221900,0.11283600
9.924811,0.13090300,0.12241400,0.10356300,0.14994400,0.09866000,0.08583000,0.11370500,0.12676500,0.10541300,0.08918800,0.11823900
9.962406,0.11091800,0.12854400,0.10730900,0.12553800,0.10386100,0.09033800,0.11488000,0.12452100,0.10559900,0.08983500,0.11524800
9.999999,0.08915800,0.12258300,0.10144800,0.10296100,0.10251400,0.09079300,0.11242700,0.11719500,0.10151500,0.08947100,0.10638700
10.037590,0.07405500,0.10823700,0.09583300,0.08612800,0.10026800,0.08821200,0.10874400,0.10520200,0.09693800,0.08822500,0.10014100
