#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                   Branch is nlresp                                  
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
#     |k| (a.u.)         b1                 b2                 b3                 b4                 b5                 b6                 b7                 b8                k_x (rlu)          k_y (rlu)          k_z (rlu)
#
       1.25551188        -14.5014858        -8.56005192        -7.04471493       -0.303277932E-1      6.42219496         13.7032862         14.2428541         15.6867056        0.316666335        0.316666245         0.00000000   
       1.27767801        -14.5374508        -8.57973480        -6.94535303       -0.901912525E-1      6.47055674         13.7713718         14.0001698         15.5821486        0.308333009        0.308332980         0.00000000   
       1.29984415        -14.5892105        -8.58754730        -6.82351398       -0.176000863         6.54166317         13.8166494         13.7060976         15.4818907        0.299999684        0.299999654         0.00000000   
       1.32201028        -14.6568098        -8.57494736        -6.68761730       -0.286824793         6.63624096         13.6928692         13.5169992         15.2687082        0.291666359        0.291666329         0.00000000   
       1.34417641        -14.7397480        -8.53965092        -6.54131603       -0.419880748         6.75773191         13.3911762         13.4336815         14.9107685        0.283333033        0.283332944         0.00000000   
       1.36634254        -14.8370285        -8.48083591        -6.38630819       -0.572726011         6.90351582         13.0211096         13.3311224         14.4875307        0.274999708        0.274999678         0.00000000   
       1.38850868        -14.9472675        -8.39693832        -6.22509527       -0.742908955         7.06963301         12.6490135         13.1431704         14.0573463        0.266666383        0.266666353         0.00000000   
       1.41067481        -15.0688143        -8.29174900        -6.05528498       -0.927726805         7.25559568         12.2777729         12.8817711         13.6415215        0.258333057        0.258333027         0.00000000   
       1.43284094        -15.1998758        -8.16800213        -5.87443256        -1.12588131         7.45843458         11.9082546         12.5755243         13.2448187        0.249999717        0.249999702         0.00000000   
       1.45500696        -15.3386183        -8.02117634        -5.69108725        -1.33264792         7.67274094         11.5499697         12.2511597         12.8568354        0.241666406        0.241666421         0.00000000   
       1.47717309        -15.4832611        -7.85232210        -5.50854540        -1.54327309         7.89833212         11.2013006         11.9251690         12.4770184        0.233333096        0.233333081         0.00000000   
       1.49933922        -15.6321230        -7.66836739        -5.31927586        -1.75822675         8.13317108         10.8611536         11.5991497         12.1122646        0.224999756        0.224999741         0.00000000   
       1.52150536        -15.7836561        -7.47594976        -5.12024021        -1.97401249         8.37563419         10.5284500         11.2795258         11.7619495        0.216666445        0.216666400         0.00000000   
       1.54367149        -15.9364681        -7.27180910        -4.91696072        -2.18867397         8.62080479         10.2045240         10.9775982         11.4222317        0.208333105        0.208333090         0.00000000   
       1.56583762        -16.0893135        -7.04734039        -4.71390057        -2.40684509         8.85329437         9.89851284         10.6936626         11.0955009        0.199999794        0.199999779         0.00000000   
       1.58800375        -16.2410984        -6.80770683        -4.51442432        -2.62065840         9.07209206         9.60329914         10.4274426         10.7827196        0.191666454        0.191666439         0.00000000   
       1.61016989        -16.3908558        -6.56089067        -4.32266903        -2.81881952         9.27304554         9.31137943         10.1884890         10.4859686        0.183333129        0.183333144         0.00000000   
       1.63233602        -16.5377464        -6.30483198        -4.11879158        -3.02420926         9.36561394         9.08816242         9.96471405         10.2362556        0.174999818        0.174999803         0.00000000   
       1.65450215        -16.6810379        -6.03786230        -3.88283825        -3.25958085         9.23251057         9.02102852         9.71855736         10.0814466        0.166666493        0.166666478         0.00000000   
       1.67666829        -16.8200932        -5.77729225        -3.68064737        -3.44306874         8.94060993         9.03450871         9.44930744         10.0055037        0.158333167        0.158333153         0.00000000   
