#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                   Branch is nlresp                                  
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
#     |k| (a.u.)         b1                 b2                 b3                 b4                 b5                 b6                 b7                 b8                k_x (rlu)          k_y (rlu)          k_z (rlu)
#
       1.41067481        -14.4904308        -7.74548197        -6.05570984       -0.927563727         5.55076742         10.9722433         11.9329119         12.4703770        0.258333057        0.258333027         0.00000000   
       1.43284094        -14.6214924        -7.62173462        -5.87490654        -1.12567878         5.75359011         10.6026773         11.6266756         12.0737543        0.249999717        0.249999702         0.00000000   
       1.45500696        -14.7602348        -7.47490931        -5.69161510        -1.33240175         5.96787882         10.2443419         11.3023233         11.6858616        0.241666406        0.241666421         0.00000000   
       1.47717309        -14.9048777        -7.30605459        -5.50913286        -1.54297948         6.19344950         9.89562035         10.9763460         11.3061428        0.233333096        0.233333081         0.00000000   
       1.49933922        -15.0537395        -7.12209988        -5.31992817        -1.75788176         6.42826605         9.55541897         10.6503401         10.9414949        0.224999756        0.224999741         0.00000000   
       1.52150536        -15.2052727        -6.92968225        -5.12096310        -1.97361171         6.67070389         9.22265911         10.3307304         10.5912943        0.216666445        0.216666400         0.00000000   
       1.54367149        -15.3580847        -6.72554159        -4.91775942        -2.18821311         6.91584730         8.89867496         10.0288172         10.2516985        0.208333105        0.208333090         0.00000000   
       1.56583762        -15.5109301        -6.50107288        -4.71477890        -2.40632081         7.14830637         8.59260178         9.74490166         9.92509365        0.199999794        0.199999779         0.00000000   
       1.58800375        -15.6627159        -6.26143932        -4.51538754        -2.62006807         7.36707067         8.29732609         9.47870827         9.61244202        0.191666454        0.191666439         0.00000000   
       1.61016989        -15.8124733        -6.01462269        -4.32372189        -2.81816077         7.56798840         8.00534344         9.23978806         9.31582737        0.183333129        0.183333144         0.00000000   
       1.63233602        -15.9593630        -5.75856447        -4.11993742        -3.02347875         7.66051722         7.78206348         9.01605129         9.06625462        0.174999818        0.174999803         0.00000000   
       1.65450215        -16.1026554        -5.49159479        -3.88408065        -3.25877595         7.52737284         7.71486664         8.76993656         8.91158676        0.166666493        0.166666478         0.00000000   
       1.67666829        -16.2417088        -5.23102474        -3.68198872        -3.44218683         7.23542881         7.72828293         8.50073242         8.83578682        0.158333167        0.158333153         0.00000000   
       1.69883442        -16.3759651        -4.98478031        -3.62990117        -3.45099545         6.96883631         7.65474415         8.24740887         8.76158333        0.149999842        0.149999827         0.00000000   
       1.72100055        -16.5049438        -4.69459391        -3.77031183        -3.30260849         6.77024031         7.47887468         8.02106762         8.65180111        0.141666517        0.141666502         0.00000000   
       1.74316669        -16.6282272        -4.35087442        -4.00443029        -3.10722566         6.57219028         7.29603291         7.80385733         8.51465321        0.133333191        0.133333206         0.00000000   
       1.76533282        -16.7454433        -4.13516617        -4.09743690        -2.92010999         6.35817671         7.13878727         7.59280872         8.36488819        0.124999873        0.124999851         0.00000000   
       1.78749895        -16.8562717        -4.18952179        -3.90802884        -2.74270344         6.15218878         6.98912954         7.39787769         8.21326447        0.116666548        0.116666541         0.00000000   
       1.80966508        -16.9604359        -4.38069725        -3.57772660        -2.56915784         5.96719313         6.83814812         7.21930504         8.05976772        0.108333223        0.108333200         0.00000000   
       1.83183122        -17.0576954        -4.53277683        -3.28483987        -2.39972639         5.80329657         6.68742800         7.05028439         7.90766144        0.999998972E-1     0.999998897E-1      0.00000000   
       1.85399735        -17.1478386        -4.64544153        -3.03091550        -2.23603797         5.65479565         6.54189587         6.89319944         7.76808023        0.916665792E-1     0.916665643E-1      0.00000000   
       1.87616348        -17.2306767        -4.76185894        -2.77337694        -2.08059335         5.51523781         6.40856791         6.75393724         7.64458370        0.833332464E-1     0.833332390E-1      0.00000000   
       1.89832962        -17.3060532        -4.86738682        -2.52393484        -1.93966460         5.38817692         6.28872967         6.63031006         7.52764750        0.749999210E-1     0.749999136E-1      0.00000000   
       1.92049575        -17.3738308        -4.94863462        -2.30085373        -1.81191289         5.28151846         6.17735863         6.51684856         7.41482639        0.666665956E-1     0.666666031E-1      0.00000000   
       1.94266188        -17.4338913        -5.01993752        -2.09715247        -1.69367480         5.18592978         6.07965660         6.41365910         7.31637430        0.583332740E-1     0.583332703E-1      0.00000000   
       1.96482801        -17.4861317        -5.09334993        -1.89973199        -1.58980882         5.09403515         5.99890995         6.32710934         7.23688126        0.499999486E-1     0.499999449E-1      0.00000000   
       1.98699415        -17.5304699        -5.16468382        -1.71292090        -1.50402999         5.01975346         5.92547846         6.25791693         7.16760635        0.416666232E-1     0.416666195E-1      0.00000000   
       2.00916028        -17.5668392        -5.22119617        -1.55746281        -1.43206942         4.96794558         5.85859680         6.19976950         7.10429525        0.333332978E-1     0.333333015E-1      0.00000000   
       2.03132629        -17.5951805        -5.25558662        -1.44529009        -1.37275255         4.92189360         5.81190634         6.15082216         7.05834866        0.249999743E-1     0.249999724E-1      0.00000000   
       2.05349231        -17.6154575        -5.27745438        -1.36737466        -1.32849765         4.88026476         5.78626585         6.11480761         7.03297615        0.166666489E-1     0.166666508E-1      0.00000000   
       2.07565832        -17.6276321        -5.29382038        -1.31474245        -1.30359304         4.85308552         5.77349901         6.09264898         7.01668692        0.833332445E-2     0.833332539E-2      0.00000000   
       2.09782434        -17.6316948        -5.30004072        -1.29466701        -1.29688847         4.84332228         5.77001524         6.08480263         7.00925446         0.00000000         0.00000000         0.00000000     [G]
# 
# 07/27/2026 at 12:08 ypp @ compute-9-01 [start]
# 07/27/2026 at 12:08                    [end]
#
# .-Input file  GW_(KS)bands.in
# | infver                           # [R] Input file variables verbosity
# | electrons                        # [R] Electronic properties
# | bnds                             # [R] Bands
# | PROJECT_mode= "none"             # Instruct ypp how to project the DOS. ATOM, LINE, PLANE.
# | INTERP_mode= "BOLTZ"             # Interpolation mode (NN=nearest point, BOLTZ=boltztrap aproach)
# | INTERP_Shell_Fac= 20.00000       # The bigger it is a higher number of shells is used
# | INTERP_NofNN= 1                  # Number of Nearest sites in the NN method
# | OutputAlat= 0.000000             # [a.u.] Lattice constant used for "alat" ouput format
# | cooIn= "rlu"                     # Points coordinates (in) cc/rlu/iku/alat
# | cooOut= "rlu"                    # Points coordinates (out) cc/rlu/iku/alat
# | % BANDS_bands
# |   1 |  8 |                           # Number of bands
# | %
# | CIRCUIT_E_DB_path= "none"        # SAVE obtained from the QE `bands` run (alternative to %BANDS_kpts)
# | BANDS_path= " G Mmp Kpp G"       # High-Symmetry points labels (G,M,K,L...) also using composed positions (0.5xY+0.5xL).
# | BANDS_steps=  40                 # Number of divisions
# | #BANDS_built_in                # Print the bands of the generating points of the circuit using the nearest internal point
# | %BANDS_kpts                      # K points of the bands circuit
# |  0.000000| 0.000000| 0.000000|
# |  0.500000| 0.000000| 0.000000|
# |  0.333333| 0.333333| 0.000000|
# |  0.000000| 0.000000| 0.000000|
# | %
